name	cluster_number	ORF	description	name_meaning
ELP4	284	YPL101W	Subunit of hexameric RecA-like ATPase Elp456 Elongator subcomplex; which is required for modification of wobble nucleosides in tRNA; required for Elongator structural integrity; null mutation is functionally complemented by human ELP4	ELongator Protein
ELP6	284	YMR312W	Subunit of hexameric RecA-like ATPase Elp456 Elongator subcomplex; which is required for modification of wobble nucleosides in tRNA; required for Elongator structural integrity	ELongator Protein
EMC1	285	YCL045C	Member of conserved endoplasmic reticulum membrane complex; involved in efficient folding of proteins in the ER; null mutant displays induction of the unfolded protein response; interacts with Gal80p; homologous to worm H17B01.4/EMC-1, fly CG2943, and human KIAA0090	ER Membrane protein Complex
EMC2	286	YJR088C	Member of conserved ER transmembrane complex; required for efficient folding of proteins in the ER; null mutant displays induction of the unfolded protein response; homologous to worm Y57G7A.10/EMC-2, fly CG17556, human TTC35	ER Membrane protein Complex
EMI1	287	YDR512C	Non-essential protein of unknown function; required for transcriptional induction of the early meiotic-specific transcription factor IME1, also required for sporulation; contains twin cysteine-x9-cysteine motifs; deletion affects mitochondrial morphology	Early Meiotic Induction
EMP70	288	YLR083C	Protein with a role in cellular adhesion and filamentous growth; also endosome-to-vacuole sorting; similar to Tmn3p; member of Transmembrane Nine family of proteins with 9 transmembrane segments; EMP70 has a paralog, TMN2, that arose from the whole genome duplication	NA
ENT3	125	YJR125C	Protein containing an N-terminal epsin-like domain; involved in clathrin recruitment and traffic between the Golgi and endosomes; associates with the clathrin adaptor Gga2p	Epsin N-Terminal homology
ENT4	289	YLL038C	Protein of unknown function; contains an N-terminal epsin-like domain; proposed to be involved in the trafficking of Arn1p in the absence of ferrichrome	Epsin N-Terminal homology
ENT5	290	YDR153C	Protein containing an N-terminal epsin-like domain; involved in clathrin recruitment and traffic between the Golgi and endosomes; associates with the clathrin adaptor Gga2p, clathrin adaptor complex AP-1, and clathrin	Epsin N-Terminal homology
EPL1	291	YFL024C	Subunit of NuA4, an essential histone H4/H2A acetyltransferase complex; conserved region at N-terminus is essential for interaction with the NPC (nucleosome core particle); required for autophagy; homologous to Drosophila Enhancer of Polycomb; coding sequence contains length polymorphisms in different strains	Enhancer of Polycomb Like
ERD1	292	YDR414C	Predicted membrane protein required for lumenal ER protein retention; mutants secrete the endogenous ER protein, BiP (Kar2p)	Endoplasmic reticulum Retention Defective
ERG2	293	YMR202W	C-8 sterol isomerase; catalyzes isomerization of delta-8 double bond to delta-7 position at an intermediate step in ergosterol biosynthesis; transcriptionally down-regulated when ergosterol is in excess; mutation is functionally complemented by human EBP	ERGosterol biosynthesis
ERG3	294	YLR056W	C-5 sterol desaturase; glycoprotein that catalyzes the introduction of a C-5(6) double bond into episterol, a precursor in ergosterol biosynthesis; transcriptionally down-regulated when ergosterol is in excess; mutants are viable, but cannot grow on non-fermentable carbon sources; substrate of HRD ubiquitin ligase; mutation is functionally complemented by human SC5D	ERGosterol biosynthesis
ERG5	295	YMR015C	C-22 sterol desaturase; a cytochrome P450 enzyme that catalyzes the formation of the C-22(23) double bond in the sterol side chain in ergosterol biosynthesis; may be a target of azole antifungal drugs	ERGosterol biosynthesis
ERG6	296	YML008C	Delta(24)-sterol C-methyltransferase; converts zymosterol to fecosterol in the ergosterol biosynthetic pathway by methylating position C-24; localized to lipid particles, the plasma membrane-associated endoplasmic reticulum, and the mitochondrial outer membrane	ERGosterol biosynthesis
ERJ5	297	YFR041C	Type I membrane protein with a J domain; required to preserve the folding capacity of the endoplasmic reticulum; loss of the non-essential ERJ5 gene leads to a constitutively induced unfolded protein response	Endoplasmic Reticulum located J-protein
ERP1	298	YAR002C-A	Member of the p24 family involved in ER to Golgi transport; role in misfolded protein quality control; forms heterotrimeric complex with Erp2p, Emp24p, and Erv25p; localized to COPII-coated vesicles; ERP1 has a paralog, ERP6, that arose from the whole genome duplication	Emp24p/Erv25p Related Protein
ERP2	299	YAL007C	Member of the p24 family involved in ER to Golgi transport; similar to Emp24p and Erv25p; role in misfolded protein quality control; forms a heterotrimeric complex with Erp1p, Emp24p, and Erv25p; localized to COPII-coated vesicles; ERP2 has a paralog, ERP4, that arose from the whole genome duplication	Emp24p/Erv25p Related Protein
ERP4	300	YOR016C	Member of the p24 family involved in ER to Golgi transport; similar to Emp24p and Erv25p; ERP4 has a paralog, ERP2, that arose from the whole genome duplication	Emp24p/Erv25p Related Protein
ERV14	301	YGL054C	COPII-coated vesicle protein; involved in vesicle formation and incorporation of specific secretory cargo; required for the delivery of bud-site selection protein Axl2p and Nha1p antiporter to cell surface; related to Drosophila cornichon; ERV14 has a paralog, ERV15, that arose from the whole genome duplication	ER Vesicle
ERV25	302	YML012W	Member of the p24 family involved in ER to Golgi transport; role in misfolded protein quality control; forms a heterotrimeric complex with Erp1, Erp2p, and Emp24,	ER Vesicle
ERV29	303	YGR284C	Protein localized to COPII-coated vesicles; involved in vesicle formation and incorporation of specific secretory cargo; protein abundance increases in response to DNA replication stress	ER Vesicle
ERV41	304	YML067C	Protein localized to COPII-coated vesicles; forms a complex with Erv46p; involved in the membrane fusion stage of transport; has homology to human ERGIC2 (PTX1) protein	ER Vesicle
ERV46	305	YAL042W	Protein localized to COPII-coated vesicles; forms a complex with Erv41p; involved in the membrane fusion stage of transport	ER Vesicle
ESA1	306	YOR244W	Catalytic subunit of the histone acetyltransferase complex (NuA4); acetylates four conserved internal lysines of histone H4 N-terminal tail and can acetylate histone H2A; master regulator of cellular acetylation balance; required for cell cycle progression and transcriptional silencing at the rDNA locus and regulation of autophagy; human ortholog TIP60/KAT5 is implicated in cancer and other diseases, functionally complements lethality of the esa1 null mutation	NA
ESC1	307	YMR219W	Protein involved in telomeric silencing; required for quiescent cell telomere hypercluster localization at nuclear membrane vicinity; interacts with PAD4-domain of Sir4p	Establishes Silent Chromatin
ESC2	308	YDR363W	Sumo-like domain protein; prevents accumulation of toxic intermediates during replication-associated recombinational repair; roles in silencing, lifespan, chromatid cohesion and the intra-S-phase DNA damage checkpoint; RENi family member	Establishment of Silent Chromatin
ESC8	309	YOL017W	Protein involved in telomeric and mating-type locus silencing; interacts with Sir2p and also interacts with Gal11p, which is a component of the RNA pol II mediator complex; ESC8 has a paralog, IOC3, that arose from the whole genome duplication	Establishes Silent Chromatin
ESS1	310	YJR017C	Peptidylprolyl-cis/trans-isomerase (PPIase); specific for phosphorylated S/T residues N-terminal to proline; regulates phosphorylation of RNAPII large subunit (Rpo21p) C-terminal domain (CTD) at Ser7; associates with phospho-Ser5 form of RNAPII in vivo; present along entire coding length of genes; represses initiation of CUTs; required for efficient termination of mRNA transcription, trimethylation of histone H3; human ortholog PIN1 can complement yeast null and ts mutants	ESSential
EXO1	311	YOR033C	5'-3' exonuclease and flap-endonuclease; involved in recombination, double-strand break repair, MMS2 error-free branch of the post replication (PRR) pathway and DNA mismatch repair; role in telomere maintenance; member of the Rad2p nuclease family, with conserved N and I nuclease domains; relative distribution to the nucleus increases upon DNA replication stress; EXO1 has a paralog, DIN7, that arose from the whole genome duplication	EXOnuclease
FAB1	312	YFR019W	1-phosphatidylinositol-3-phosphate 5-kinase; vacuolar membrane kinase that generates phosphatidylinositol (3,5)P2, which is involved in vacuolar sorting and homeostasis	Forms Aploid and Binucleate cells
FAR1	313	YJL157C	CDK inhibitor and nuclear anchor; during the cell cycle Far1p sequesters the GEF Cdc24p in the nucleus; phosphorylation by Cdc28p-Cln results in SCFCdc4 complex-mediated ubiquitin-dependent degradation, releasing Cdc24p for export and activation of GTPase Cdc42p; in response to pheromone, phosphorylation of Far1p by MAPK Fus3p results in association with, and inhibition of Cdc28p-Cln, as well as Msn5p mediated nuclear export of Far1p-Cdc24p, targeting Cdc24p to polarity sites	Factor ARrest
FAR3	314	YMR052W	Protein of unknown function; involved in recovery from cell cycle arrest in response to pheromone, in a Far1p-independent pathway; interacts with Far7p, Far8p, Far9p, Far10p, and Far11p; localizes to the endoplasmic reticulum; protein abundance increases in response to DNA replication stress	Factor ARrest
FAR8	315	YMR029C	Protein involved in recovery from arrest in response to pheromone; acts in a cell cycle arrest recovery pathway independent from Far1p; interacts with Far3p, Far7p, Far9p, Far10p, and Far11p	Factor ARrest
FAT1	316	YBR041W	Very long chain fatty acyl-CoA synthetase and fatty acid transporter; activates imported fatty acids with a preference for very long lengths (C20-C26); has a separate function in the transport of long chain fatty acids	FATty acid transporter
FCP1	317	YMR277W	Carboxy-terminal domain (CTD) phosphatase; essential for dephosphorylation of the repeated C-terminal domain of the RNA polymerase II large subunit (Rpo21p); relocalizes to the cytosol in response to hypoxia	tfiiF-associating component of Ctd Phosphatase
FEN1	318	YCR034W	Fatty acid elongase, involved in sphingolipid biosynthesis; acts on fatty acids of up to 24 carbons in length; mutations have regulatory effects on 1,3-beta-glucan synthase, vacuolar ATPase, and the secretory pathway; ELO2 has a paralog, ELO1, that arose from the whole genome duplication; lethality of the elo2 elo3 double null mutation is functionally complemented by human ELOVL1 and weakly complemented by human ELOVL3 or ELOV7	fatty acid ELOngation
